format,name,link,archetype,wr,date
standard_bo1,f3lcrow,https://mtga.untapped.gg/profile/8a45053a-e535-44fb-862e-ba444da0ba42/TXLQPDKNEZEQHK73MWTRNWWH6A/deck/cf666c9c-64cc-42ee-bc45-e94a8045b0a3?timeFrame=current_season,Golgari Midrange,62.5%,May 31
standard_bo1,R3dRuM7783,https://mtga.untapped.gg/profile/0b763692-38f7-41c2-8d96-009da147b103/GTCTELEWIVD3VMLLXNIECJE5JY/deck/f8c8d126-a2b0-4236-af98-fb5d506ea153?timeFrame=current_season,Mono-Black Other,52.2%,May 31
standard_bo1,Stevomachino,https://mtga.untapped.gg/profile/014a01f4-e9be-4937-8ec8-d20b22dc1798/HIPYDE6UCBE5LBVFLBEBTTAYYI/deck/e0467fd0-7a98-4b4b-9a04-ae8fde17de38?timeFrame=current_season,5-Color Alara,55.2%,May 31
standard_bo1,Ropesalido,https://mtga.untapped.gg/profile/79883fdc-57c2-41d4-b503-8b1834bf35cd/HJEWEOGZEFE7ZH27SSXHJ5TQWA/deck/2465e595-78a8-426f-8be5-a53efed9aad1?timeFrame=current_season,Boros Convoke,57.4%,May 31
standard_bo1,cotoxito,https://mtga.untapped.gg/profile/5ff20878-81c7-41d8-a9a5-d298de0e9922/KRZEP526CRGH5MW4OP66EQIB44/deck/fd65f2fd-3d59-47c8-ad31-7316d25383b5?timeFrame=current_season,Mono-Blue Tempo,70.3%,May 31
standard_bo1,Daleinad,https://mtga.untapped.gg/profile/e4c3f70d-caff-43cd-b2e4-fd592589f828/MKXGJXQUSRHDLIDBG3QPZIS3HA/deck/84e14bec-6523-4179-a4d8-c75756025dc5?timeFrame=current_season,Azorius Control,64.3%,May 31
standard_bo1,Lara Crofts Toy,https://mtga.untapped.gg/profile/5ac52bc8-719b-4ca2-8b35-564ea34d4d07/3R44DJA27FDJ7AELQKBCSWZ7WM/deck/48e0473d-baa4-4b32-8815-9c17eccc67eb?timeFrame=current_season,Mono-White Humans,68.4%,May 31
standard_bo1,filthyrat,https://mtga.untapped.gg/profile/86bab541-b3a9-4f8b-ae22-fa1f9873e7a6/NC24Q7OUKBAKNKLCCOU5DB7ZL4/deck/0cfffc1a-dede-4f29-80c2-328d8cf69940?timeFrame=current_season,5-Color Domain,62.7%,May 31
standard_bo1,Ober0n051,https://mtga.untapped.gg/profile/119faa07-a198-41aa-8ba6-79d441d9ef9a/6EETYZLTW5HI5CMMNB3WLTRNF4/deck/d15da332-09a6-4eee-8709-fc619f5f097e?timeFrame=current_season,Boros Convoke,58.2%,May 31
standard_bo1,DoubleStrikeMTG,https://mtga.untapped.gg/profile/4d6f925f-b1e5-4c06-a26f-6b9fc673ad87/18E8F358A22EA12/deck/07481fbd-a931-4aeb-a300-675bbc48a0aa?timeFrame=current_season,Mono-White Humans,54.8%,May 31
